model,property,algorithm,seed,simulations,time,robustness,falsified,control points,budget
automatic_transmission,"□_[0.0, 5.0] (speed < 200.0)","uniform random",0,100.0,15.0,142.52693833779517,no,4,100
automatic_transmission,"□_[0.0, 5.0] (speed < 200.0)","uniform random",8930961420536443956,100.0,14.0,142.64692872712519,no,4,100
automatic_transmission,"□_[0.0, 5.0] (speed < 200.0)","uniform random",5027564224191174885,100.0,14.0,142.62461846521583,no,4,100
automatic_transmission,"□_[0.0, 5.0] (speed < 200.0)","uniform random",-1702726027617546570,100.0,15.0,144.5527824267075,no,4,100
automatic_transmission,"□_[0.0, 5.0] (speed < 200.0)","uniform random",5704118054995460492,100.0,16.0,144.5563586931351,no,4,100
automatic_transmission,"□_[0.0, 5.0] (speed < 200.0)","uniform random",7938329089922726318,100.0,18.0,143.3843922870883,no,4,100
automatic_transmission,"□_[0.0, 5.0] (speed < 200.0)","uniform random",2597640955835708158,100.0,15.0,141.1863877362626,no,4,100
automatic_transmission,"□_[0.0, 5.0] (speed < 200.0)","uniform random",-3373523279198630529,100.0,14.0,147.83379507832862,no,4,100
automatic_transmission,"□_[0.0, 5.0] (speed < 200.0)","uniform random",-945874369173475924,100.0,14.0,144.13108692780375,no,4,100
automatic_transmission,"□_[0.0, 5.0] (speed < 200.0)","uniform random",-2027068886085455778,100.0,14.0,142.25231592202113,no,4,100
automatic_transmission,"□_[0.0, 10.0] (speed < 200.0)","uniform random",0,100.0,14.0,117.99413152233647,no,4,100
automatic_transmission,"□_[0.0, 10.0] (speed < 200.0)","uniform random",8930961420536443956,100.0,14.0,118.12153670938943,no,4,100
automatic_transmission,"□_[0.0, 10.0] (speed < 200.0)","uniform random",5027564224191174885,100.0,14.0,117.97127569723,no,4,100
automatic_transmission,"□_[0.0, 10.0] (speed < 200.0)","uniform random",-1702726027617546570,100.0,14.0,122.14949562389859,no,4,100
automatic_transmission,"□_[0.0, 10.0] (speed < 200.0)","uniform random",5704118054995460492,100.0,14.0,121.5565366907074,no,4,100
automatic_transmission,"□_[0.0, 10.0] (speed < 200.0)","uniform random",7938329089922726318,100.0,15.0,119.67258134806367,no,4,100
automatic_transmission,"□_[0.0, 10.0] (speed < 200.0)","uniform random",2597640955835708158,100.0,14.0,116.34476550334396,no,4,100
automatic_transmission,"□_[0.0, 10.0] (speed < 200.0)","uniform random",-3373523279198630529,100.0,15.0,125.40820221184615,no,4,100
automatic_transmission,"□_[0.0, 10.0] (speed < 200.0)","uniform random",-945874369173475924,100.0,16.0,122.40222154766931,no,4,100
automatic_transmission,"□_[0.0, 10.0] (speed < 200.0)","uniform random",-2027068886085455778,100.0,15.0,118.3268726920353,no,4,100
automatic_transmission,"□_[0.0, 20.0] (speed < 200.0)","uniform random",0,100.0,15.0,93.38156989096538,no,4,100
automatic_transmission,"□_[0.0, 20.0] (speed < 200.0)","uniform random",8930961420536443956,100.0,15.0,92.82692802802276,no,4,100
automatic_transmission,"□_[0.0, 20.0] (speed < 200.0)","uniform random",5027564224191174885,100.0,16.0,92.21249330499887,no,4,100
automatic_transmission,"□_[0.0, 20.0] (speed < 200.0)","uniform random",-1702726027617546570,100.0,16.0,99.26211503404679,no,4,100
automatic_transmission,"□_[0.0, 20.0] (speed < 200.0)","uniform random",5704118054995460492,100.0,16.0,97.265176305136,no,4,100
automatic_transmission,"□_[0.0, 20.0] (speed < 200.0)","uniform random",7938329089922726318,100.0,16.0,95.33939866596913,no,4,100
automatic_transmission,"□_[0.0, 20.0] (speed < 200.0)","uniform random",2597640955835708158,100.0,16.0,88.90441409799993,no,4,100
automatic_transmission,"□_[0.0, 20.0] (speed < 200.0)","uniform random",-3373523279198630529,100.0,16.0,96.26923759922447,no,4,100
automatic_transmission,"□_[0.0, 20.0] (speed < 200.0)","uniform random",-945874369173475924,100.0,15.0,99.23117715452264,no,4,100
automatic_transmission,"□_[0.0, 20.0] (speed < 200.0)","uniform random",-2027068886085455778,100.0,15.0,92.80476900085078,no,4,100
automatic_transmission,"□_[0.0, 30.0] (speed < 200.0)","uniform random",0,100.0,16.0,80.96091141296284,no,4,100
automatic_transmission,"□_[0.0, 30.0] (speed < 200.0)","uniform random",8930961420536443956,100.0,16.0,81.69310292347014,no,4,100
automatic_transmission,"□_[0.0, 30.0] (speed < 200.0)","uniform random",5027564224191174885,100.0,16.0,80.18952163661356,no,4,100
automatic_transmission,"□_[0.0, 30.0] (speed < 200.0)","uniform random",-1702726027617546570,100.0,16.0,82.85304251063705,no,4,100
automatic_transmission,"□_[0.0, 30.0] (speed < 200.0)","uniform random",5704118054995460492,100.0,16.0,84.3902655659284,no,4,100
automatic_transmission,"□_[0.0, 30.0] (speed < 200.0)","uniform random",7938329089922726318,100.0,16.0,83.78654778490129,no,4,100
automatic_transmission,"□_[0.0, 30.0] (speed < 200.0)","uniform random",2597640955835708158,100.0,16.0,76.09712756991007,no,4,100
automatic_transmission,"□_[0.0, 30.0] (speed < 200.0)","uniform random",-3373523279198630529,100.0,16.0,85.83210475172356,no,4,100
automatic_transmission,"□_[0.0, 30.0] (speed < 200.0)","uniform random",-945874369173475924,100.0,16.0,83.36633621120805,no,4,100
automatic_transmission,"□_[0.0, 30.0] (speed < 200.0)","uniform random",-2027068886085455778,100.0,16.0,79.48257346526998,no,4,100
