model,property,algorithm,seed,simulations,time,robustness,falsified,control points,budget,exploration ratio,solver
automatic_transmission,"□_[0.0, 8.0] (RPM < 4750.0)","uniform random",0,100.0,13.0,134.1760078905254,no,4,100,,
automatic_transmission,"□_[0.0, 8.0] (RPM < 4750.0)","uniform random",8930961420536443956,100.0,12.0,128.13965003766316,no,4,100,,
automatic_transmission,"□_[0.0, 8.0] (RPM < 4750.0)","uniform random",5027564224191174885,7.0,0.0,-14.281916697546876,yes,4,100,,
automatic_transmission,"□_[0.0, 8.0] (RPM < 4750.0)","uniform random",8786251193239860502,14.0,1.0,-13.688454910431574,yes,4,100,,
automatic_transmission,"□_[0.0, 8.0] (RPM < 4750.0)","uniform random",-5347915483141776079,100.0,12.0,120.25726998498067,no,4,100,,
automatic_transmission,"□_[0.0, 8.0] (RPM < 4750.0)","uniform random",-3927273804512837128,100.0,12.0,41.90585532064142,no,4,100,,
automatic_transmission,"□_[0.0, 8.0] (RPM < 4750.0)","uniform random",1810582452527976286,100.0,13.0,133.04317307806377,no,4,100,,
automatic_transmission,"□_[0.0, 8.0] (RPM < 4750.0)","uniform random",-2539624035832064787,100.0,12.0,126.1716581931978,no,4,100,,
automatic_transmission,"□_[0.0, 8.0] (RPM < 4750.0)","uniform random",-5807371422418053993,100.0,13.0,79.19849382660959,no,4,100,,
automatic_transmission,"□_[0.0, 8.0] (RPM < 4750.0)","uniform random",1906504590361032625,30.0,3.0,-12.244360570452955,yes,4,100,,
automatic_transmission,"□_[0.0, 8.0] (RPM < 4750.0)","uniform random",-9047323118654679931,1.0,0.0,-14.171581447968492,yes,4,100,,
automatic_transmission,"□_[0.0, 8.0] (RPM < 4750.0)","uniform random",3799789418447717604,15.0,1.0,-16.809466844943927,yes,4,100,,
automatic_transmission,"□_[0.0, 8.0] (RPM < 4750.0)","uniform random",-4162325487886099639,90.0,11.0,-13.791719407449818,yes,4,100,,
automatic_transmission,"□_[0.0, 8.0] (RPM < 4750.0)","uniform random",407796123348413814,100.0,13.0,127.01634434567859,no,4,100,,
automatic_transmission,"□_[0.0, 8.0] (RPM < 4750.0)","uniform random",5399810365157972213,100.0,13.0,90.73331925864477,no,4,100,,
automatic_transmission,"□_[0.0, 8.0] (RPM < 4750.0)","uniform random",5596255912463184649,44.0,5.0,-11.027838383890412,yes,4,100,,
automatic_transmission,"□_[0.0, 8.0] (RPM < 4750.0)","uniform random",3247847677674458864,100.0,13.0,27.58066166858589,no,4,100,,
automatic_transmission,"□_[0.0, 8.0] (RPM < 4750.0)","uniform random",593376566974346186,26.0,3.0,-8.838910457552629,yes,4,100,,
automatic_transmission,"□_[0.0, 8.0] (RPM < 4750.0)","uniform random",9216987047905237947,100.0,14.0,94.24446469904342,no,4,100,,
automatic_transmission,"□_[0.0, 8.0] (RPM < 4750.0)","uniform random",-5061931886222052792,100.0,15.0,84.6712100804607,no,4,100,,
automatic_transmission,"□_[0.0, 8.0] (RPM < 4750.0)","uniform random",-2477692699594212506,6.0,0.0,-13.996278133488886,yes,4,100,,
automatic_transmission,"□_[0.0, 8.0] (RPM < 4750.0)","uniform random",-3117561146704015470,100.0,15.0,82.8292632619632,no,4,100,,
automatic_transmission,"□_[0.0, 8.0] (RPM < 4750.0)","uniform random",-391375023603081875,100.0,15.0,40.96844271345162,no,4,100,,
automatic_transmission,"□_[0.0, 8.0] (RPM < 4750.0)","uniform random",9198463515724119317,100.0,15.0,128.44929633594256,no,4,100,,
automatic_transmission,"□_[0.0, 8.0] (RPM < 4750.0)","uniform random",-5323841326430959226,100.0,15.0,126.16986121995706,no,4,100,,
automatic_transmission,"□_[0.0, 8.0] (RPM < 4750.0)","uniform random",-7714828522238373598,100.0,15.0,132.74492435620687,no,4,100,,
automatic_transmission,"□_[0.0, 8.0] (RPM < 4750.0)","uniform random",7057466403094865533,100.0,15.0,133.50656909559348,no,4,100,,
automatic_transmission,"□_[0.0, 8.0] (RPM < 4750.0)","uniform random",-1894650031359317532,28.0,4.0,-12.438828748658125,yes,4,100,,
automatic_transmission,"□_[0.0, 8.0] (RPM < 4750.0)","uniform random",-5665236064223179620,100.0,15.0,22.669367093318215,no,4,100,,
automatic_transmission,"□_[0.0, 8.0] (RPM < 4750.0)","uniform random",4112581055693517594,100.0,15.0,129.36947667159257,no,4,100,,
automatic_transmission,"□_[0.0, 8.0] (RPM < 4750.0)","uniform random",6237083299720161134,6.0,0.0,-5.934233564843453,yes,4,100,,
automatic_transmission,"□_[0.0, 8.0] (RPM < 4750.0)","uniform random",954642970470904309,40.0,6.0,-12.319589801028087,yes,4,100,,
