model,property,algorithm,seed,simulations,time,robustness,falsified,control points,budget,solver,exploration ratio
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))","uniform random",0,47.0,32.0,-2.9452153219182264,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))","uniform random",3848973185516237780,59.0,10.0,-8.920385808195888,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))","uniform random",-3720460953660644966,4.0,0.0,-2.3287911391597973,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))","uniform random",8818297957999067572,21.0,3.0,-2.899174276457426,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))","uniform random",-4194248394170250662,40.0,7.0,-3.473224359914674,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))","uniform random",-5564531800387183984,77.0,13.0,-7.295701563168336,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))","uniform random",878607482424737878,7.0,1.0,-9.86719066377734,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))","uniform random",-2687099624633183244,12.0,2.0,-8.235797098031078,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))","uniform random",271988962962915689,5.0,0.0,-1.3132509528848253,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))","uniform random",-6297074120981372772,34.0,5.0,-6.02463441566076,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))","uniform random",2885960293253671552,112.0,20.0,-3.0956596604772955,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))","uniform random",7629631518207364041,16.0,2.0,-7.295638091094567,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))","uniform random",6161308187676654590,21.0,3.0,-2.692102062143192,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))","uniform random",5515536037085729053,21.0,3.0,-1.5315524308108692,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))","uniform random",1842277048948951078,40.0,7.0,-3.013321200680288,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))","uniform random",-5374619767683142391,17.0,3.0,-10.173279406379496,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))","uniform random",-1340685738525315938,38.0,6.0,-10.125110831797148,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))","uniform random",4138095606501032898,21.0,3.0,-3.304762301776705,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))","uniform random",5207916330932543744,25.0,4.0,-2.3808552627995176,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))","uniform random",7823792599764529226,8.0,1.0,-6.0788685516794985,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))","uniform random",5434167080048929024,29.0,5.0,-6.734410898559478,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))","uniform random",6724337150903477267,74.0,13.0,-5.643201568699634,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))","uniform random",3460346635685468838,4.0,0.0,-0.15006121186568677,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))","uniform random",6509388552454090948,60.0,10.0,-4.972607533625034,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))","uniform random",3620223585227969862,85.0,14.0,-1.1595881437571869,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))","uniform random",-4214941994030614398,12.0,2.0,-8.789263411959812,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))","uniform random",-7817277036306082809,1.0,0.0,-2.6658059729062735,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))","uniform random",-6163585183478002410,17.0,3.0,-2.2153597278271526,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))","uniform random",6436401521645379131,84.0,15.0,-4.206266398978652,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))","uniform random",-7913934005513864877,24.0,4.0,-7.114277245220745,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))","uniform random",8664573425490164133,6.0,1.0,-0.3945099530233094,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))","uniform random",7826258599161792518,49.0,8.0,-3.3713597543292835,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))","uniform random",741132787747981398,44.0,7.0,-9.861930952270328,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))","uniform random",8456972113425892998,102.0,18.0,-1.2347534262557467,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))","uniform random",586382240837916470,7.0,1.0,-3.8185089418407543,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))","uniform random",4865456220252544579,16.0,2.0,-0.06607976033552632,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))","uniform random",-2356108942988378484,8.0,1.0,-3.633275952178167,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))","uniform random",-7156313635806303555,16.0,2.0,-0.4886190786355371,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))","uniform random",2205323979095087009,61.0,11.0,-3.122143446927762,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))","uniform random",-3084743448846608243,45.0,8.0,-1.0365077886025702,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))","uniform random",-2171205194175329188,14.0,2.0,-6.005911561930102,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))","uniform random",-322898176017916851,212.0,37.0,-0.550889756862297,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))","uniform random",-3752335729812713328,33.0,5.0,-4.654107990796891,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))","uniform random",-3615736885936454975,23.0,4.0,-3.905853909857317,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))","uniform random",-2562412893503466593,38.0,6.0,-7.733937548641084,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))","uniform random",-3556399906061415554,42.0,7.0,-3.708544202994254,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))","uniform random",-2141881919489487911,27.0,4.0,-9.351517860325469,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))","uniform random",821251197531253837,65.0,11.0,-7.179186475093751,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))","uniform random",2518464545265921591,9.0,1.0,-5.914661238888634,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))","uniform random",-8050853619157457803,47.0,8.0,-3.9392338102636053,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] ((gear == 4.0) ==> (40.0 < speed))","uniform random",0,5.0,0.0,-0.8233477393589794,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] ((gear == 4.0) ==> (40.0 < speed))","uniform random",3896605098068159738,17.0,3.0,-5.069445468841025,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] ((gear == 4.0) ==> (40.0 < speed))","uniform random",5772574326220379013,19.0,3.0,-3.4767241997705725,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] ((gear == 4.0) ==> (40.0 < speed))","uniform random",5179564615471840568,15.0,2.0,-3.3260169376496123,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] ((gear == 4.0) ==> (40.0 < speed))","uniform random",-8988859503607963948,206.0,36.0,-2.3291151337050664,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] ((gear == 4.0) ==> (40.0 < speed))","uniform random",-8369691169013183955,36.0,6.0,-1.663496637573445,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] ((gear == 4.0) ==> (40.0 < speed))","uniform random",8129912283226604826,107.0,19.0,-2.835310813082671,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] ((gear == 4.0) ==> (40.0 < speed))","uniform random",-6566671500847888364,42.0,7.0,-2.006048692613682,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] ((gear == 4.0) ==> (40.0 < speed))","uniform random",601503357765806875,84.0,14.0,-4.971361536746777,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] ((gear == 4.0) ==> (40.0 < speed))","uniform random",1504772153084644166,276.0,49.0,-2.590724690507159,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] ((gear == 4.0) ==> (40.0 < speed))","uniform random",4171289844721896353,120.0,21.0,-4.914616900237235,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] ((gear == 4.0) ==> (40.0 < speed))","uniform random",3590331068225047380,111.0,20.0,-3.2999468144631763,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] ((gear == 4.0) ==> (40.0 < speed))","uniform random",7049217215963679024,2.0,0.0,-3.825107009143366,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] ((gear == 4.0) ==> (40.0 < speed))","uniform random",7044335867957293911,31.0,5.0,-4.845289712352212,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] ((gear == 4.0) ==> (40.0 < speed))","uniform random",-4248269632758858506,151.0,27.0,-2.5231757212456003,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] ((gear == 4.0) ==> (40.0 < speed))","uniform random",-4828783390304442803,78.0,14.0,-1.856505179838308,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] ((gear == 4.0) ==> (40.0 < speed))","uniform random",2435545625894289256,76.0,13.0,-2.0048340845786825,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] ((gear == 4.0) ==> (40.0 < speed))","uniform random",-3376972837183158214,55.0,10.0,-2.347353825809371,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] ((gear == 4.0) ==> (40.0 < speed))","uniform random",7995921352034712750,6.0,1.0,-2.9632906397808725,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] ((gear == 4.0) ==> (40.0 < speed))","uniform random",-2898337281213167000,79.0,14.0,-0.6619224065546945,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] ((gear == 4.0) ==> (40.0 < speed))","uniform random",707698570906197047,300.0,53.0,2.6997472601993096,no,4,300,,
automatic_transmission,"□_[0.0, 30.0] ((gear == 4.0) ==> (40.0 < speed))","uniform random",1509974909664104427,106.0,19.0,-5.154194954742408,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] ((gear == 4.0) ==> (40.0 < speed))","uniform random",-5443057834037698819,59.0,10.0,-3.725532892539782,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] ((gear == 4.0) ==> (40.0 < speed))","uniform random",-6949411643867065033,28.0,4.0,-5.115463255950566,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] ((gear == 4.0) ==> (40.0 < speed))","uniform random",2335657570074332066,13.0,2.0,-3.6822787066717595,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] ((gear == 4.0) ==> (40.0 < speed))","uniform random",8292625909458077500,11.0,1.0,-2.5048003271439896,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] ((gear == 4.0) ==> (40.0 < speed))","uniform random",4882392441412281475,55.0,9.0,-0.16113297067170862,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] ((gear == 4.0) ==> (40.0 < speed))","uniform random",-7413789980897910315,9.0,1.0,-0.6321287012044863,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] ((gear == 4.0) ==> (40.0 < speed))","uniform random",-8988804883671922243,21.0,3.0,-5.08951280870906,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] ((gear == 4.0) ==> (40.0 < speed))","uniform random",6499265823953933650,71.0,12.0,-0.09677439692627132,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] ((gear == 4.0) ==> (40.0 < speed))","uniform random",-8203463204796148166,185.0,33.0,-5.139655633512525,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] ((gear == 4.0) ==> (40.0 < speed))","uniform random",-997870198636747135,2.0,0.0,-5.054208600528362,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] ((gear == 4.0) ==> (40.0 < speed))","uniform random",5964029801535077825,23.0,4.0,-0.6406944855466818,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] ((gear == 4.0) ==> (40.0 < speed))","uniform random",-3455845259968526561,45.0,8.0,-2.972907174197722,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] ((gear == 4.0) ==> (40.0 < speed))","uniform random",2693901854932830423,63.0,11.0,-2.827578471598386,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] ((gear == 4.0) ==> (40.0 < speed))","uniform random",-6809606851112105168,18.0,3.0,-4.179551973372568,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] ((gear == 4.0) ==> (40.0 < speed))","uniform random",6173663185100451378,2.0,0.0,-4.653173253663475,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] ((gear == 4.0) ==> (40.0 < speed))","uniform random",-7793934566790003216,85.0,15.0,-0.7819598047449787,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] ((gear == 4.0) ==> (40.0 < speed))","uniform random",-9004868195988328330,185.0,33.0,-4.608109339442649,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] ((gear == 4.0) ==> (40.0 < speed))","uniform random",7749113399749442015,44.0,7.0,-0.8845733911680682,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] ((gear == 4.0) ==> (40.0 < speed))","uniform random",5305453580534449579,130.0,23.0,-1.6697305232625084,yes,4,300,,
