model,property,algorithm,seed,simulations,time,robustness,falsified,control points,budget,solver,exploration ratio
automatic_transmission,"(□_[0.0, 10.0] (speed < 80.0) || ◇_[0.0, 30.0] (4500.0 < RPM))","uniform random",0,160.0,59.0,-1.8660321169342353,yes,4,300,,
automatic_transmission,"(□_[0.0, 10.0] (speed < 80.0) || ◇_[0.0, 30.0] (4500.0 < RPM))","uniform random",-5188055115765021241,268.0,47.0,-0.1985599213314515,yes,4,300,,
automatic_transmission,"(□_[0.0, 10.0] (speed < 80.0) || ◇_[0.0, 30.0] (4500.0 < RPM))","uniform random",-1073980160380237862,15.0,2.0,-2.5394440925638264,yes,4,300,,
automatic_transmission,"(□_[0.0, 10.0] (speed < 80.0) || ◇_[0.0, 30.0] (4500.0 < RPM))","uniform random",1119023192736309770,300.0,53.0,2.135834800247764,no,4,300,,
automatic_transmission,"(□_[0.0, 10.0] (speed < 80.0) || ◇_[0.0, 30.0] (4500.0 < RPM))","uniform random",598535671638626545,300.0,54.0,0.3309556601766417,no,4,300,,
automatic_transmission,"(□_[0.0, 10.0] (speed < 80.0) || ◇_[0.0, 30.0] (4500.0 < RPM))","uniform random",-6144717709331964100,55.0,9.0,-4.76599368145763,yes,4,300,,
automatic_transmission,"(□_[0.0, 10.0] (speed < 80.0) || ◇_[0.0, 30.0] (4500.0 < RPM))","uniform random",1216776145831545509,11.0,1.0,-0.2596926466717946,yes,4,300,,
automatic_transmission,"(□_[0.0, 10.0] (speed < 80.0) || ◇_[0.0, 30.0] (4500.0 < RPM))","uniform random",-9045028995606345218,138.0,24.0,-0.20681180114873143,yes,4,300,,
automatic_transmission,"(□_[0.0, 10.0] (speed < 80.0) || ◇_[0.0, 30.0] (4500.0 < RPM))","uniform random",3252720185567243584,100.0,17.0,-0.3405057521731578,yes,4,300,,
automatic_transmission,"(□_[0.0, 10.0] (speed < 80.0) || ◇_[0.0, 30.0] (4500.0 < RPM))","uniform random",-5513331900409711014,158.0,28.0,-0.5690379929760212,yes,4,300,,
automatic_transmission,"(□_[0.0, 10.0] (speed < 80.0) || ◇_[0.0, 30.0] (4500.0 < RPM))","uniform random",3247030408863316850,13.0,2.0,-1.148265001554961,yes,4,300,,
automatic_transmission,"(□_[0.0, 10.0] (speed < 80.0) || ◇_[0.0, 30.0] (4500.0 < RPM))","uniform random",-9218719252906304262,83.0,14.0,-1.9818010280855134,yes,4,300,,
automatic_transmission,"(□_[0.0, 10.0] (speed < 80.0) || ◇_[0.0, 30.0] (4500.0 < RPM))","uniform random",259653596694320818,36.0,6.0,-3.260675219505316,yes,4,300,,
automatic_transmission,"(□_[0.0, 10.0] (speed < 80.0) || ◇_[0.0, 30.0] (4500.0 < RPM))","uniform random",1453473619402475189,112.0,19.0,-2.443786171787977,yes,4,300,,
automatic_transmission,"(□_[0.0, 10.0] (speed < 80.0) || ◇_[0.0, 30.0] (4500.0 < RPM))","uniform random",-667735118270113759,191.0,33.0,-1.618169709474131,yes,4,300,,
automatic_transmission,"(□_[0.0, 10.0] (speed < 80.0) || ◇_[0.0, 30.0] (4500.0 < RPM))","uniform random",-2318490829461882839,23.0,4.0,-2.4258597936346433,yes,4,300,,
automatic_transmission,"(□_[0.0, 10.0] (speed < 80.0) || ◇_[0.0, 30.0] (4500.0 < RPM))","uniform random",354912406402411219,99.0,17.0,-0.9603785952555057,yes,4,300,,
automatic_transmission,"(□_[0.0, 10.0] (speed < 80.0) || ◇_[0.0, 30.0] (4500.0 < RPM))","uniform random",7878410728186145845,142.0,25.0,-2.200135756668402,yes,4,300,,
automatic_transmission,"(□_[0.0, 10.0] (speed < 80.0) || ◇_[0.0, 30.0] (4500.0 < RPM))","uniform random",4602144629971564252,219.0,38.0,-3.535368743801726,yes,4,300,,
automatic_transmission,"(□_[0.0, 10.0] (speed < 80.0) || ◇_[0.0, 30.0] (4500.0 < RPM))","uniform random",-7419750525572999502,300.0,52.0,0.4144211686923569,no,4,300,,
automatic_transmission,"(□_[0.0, 10.0] (speed < 80.0) || ◇_[0.0, 30.0] (4500.0 < RPM))","uniform random",4370914919068939735,300.0,54.0,0.5829525742766037,no,4,300,,
automatic_transmission,"(□_[0.0, 10.0] (speed < 80.0) || ◇_[0.0, 30.0] (4500.0 < RPM))","uniform random",-3550284293574377384,300.0,53.0,6.260842056349247E-6,no,4,300,,
automatic_transmission,"(□_[0.0, 10.0] (speed < 80.0) || ◇_[0.0, 30.0] (4500.0 < RPM))","uniform random",2477059668020947945,12.0,2.0,-2.8246727069007704,yes,4,300,,
