model,property,algorithm,seed,simulations,time,robustness,falsified,input,control points,exploration ratio,budget,explore,uniform,prefix,suffix
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",adaptive,0,29.0,6.0,-17.980199361426514,yes,"[0.0 100.0 0.0; 15.0 100.0 0.0; 30.0 100.0 0.0]","2 2 3 3 3 4",0.25,300,54,5,12,7
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",adaptive,-6046014611969325073,4.0,0.0,-17.980199361426514,yes,"[0.0 100.0 0.0; 15.0 100.0 0.0; 30.0 100.0 0.0]","2 2 3 3 3 4",0.25,300,8,0,2,0
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",adaptive,-9078758710300016934,9.0,2.0,-1.8555748756042192,yes,"[0.0 100.0 162.5; 15.0 100.0 10.15625; 22.5 100.0 325.0; 30.0 100.0 325.0]","2 2 3 3 3 4",0.25,300,21,0,0,2
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",adaptive,6026752103936063831,5.0,1.0,-11.220951438219288,yes,"[0.0 100.0 325.0; 15.0 100.0 0.0; 30.0 100.0 0.0]","2 2 3 3 3 4",0.25,300,7,2,1,0
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",adaptive,-7488286861000505729,2.0,0.0,-4.740537532593038,yes,"[0.0 50.0 284.375; 10.0 100.0 0.0; 25.0 75.0 0.0; 30.0 75.0 0.0]","2 2 3 3 3 4",0.25,300,6,0,0,0
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",adaptive,4096412075366339464,6.0,1.0,-0.8783142956569066,yes,"[0.0 75.0 0.0; 10.0 100.0 243.75; 20.0 100.0 162.5; 30.0 100.0 162.5]","2 2 3 3 3 4",0.25,300,13,0,1,0
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",adaptive,7672111965323154545,15.0,3.0,-4.809704969700675,yes,"[0.0 50.0 0.0; 15.0 100.0 0.0; 30.0 100.0 0.0]","2 2 3 3 3 4",0.25,300,27,5,3,0
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",adaptive,-7183876693434789442,4.0,0.0,-0.5511690346261702,yes,"[0.0 100.0 0.0; 15.0 50.0 0.0; 30.0 50.0 0.0]","2 2 3 3 3 4",0.25,300,8,0,1,0
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",adaptive,-5011953456019000971,8.0,2.0,-17.980199361426514,yes,"[0.0 100.0 0.0; 15.0 100.0 0.0; 30.0 100.0 0.0]","2 2 3 3 3 4",0.25,300,16,1,1,1
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",adaptive,9035443895564923029,7.0,1.0,-8.065993679063752,yes,"[0.0 100.0 142.1875; 10.0 100.0 0.0; 25.0 0.0 325.0; 30.0 0.0 325.0]","2 2 3 3 3 4",0.25,300,13,2,1,0
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",adaptive,-2740929484600087517,10.0,2.0,-17.980199361426514,yes,"[0.0 100.0 0.0; 15.0 100.0 0.0; 30.0 100.0 0.0]","2 2 3 3 3 4",0.25,300,16,1,2,4
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",adaptive,4294016909393539959,11.0,2.0,-14.42303757125893,yes,"[0.0 100.0 162.5; 15.0 100.0 0.0; 30.0 100.0 0.0]","2 2 3 3 3 4",0.25,300,20,1,3,1
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",adaptive,-6182145599744364137,7.0,1.0,-0.5511690346261702,yes,"[0.0 100.0 0.0; 15.0 50.0 0.0; 30.0 50.0 0.0]","2 2 3 3 3 4",0.25,300,15,0,3,1
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",adaptive,8458830146556579542,7.0,1.0,-14.42303757125893,yes,"[0.0 100.0 162.5; 15.0 100.0 0.0; 30.0 100.0 0.0]","2 2 3 3 3 4",0.25,300,16,1,0,0
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",adaptive,-7841915111413246962,5.0,1.0,-0.18690699946651534,yes,"[0.0 100.0 81.25; 10.0 100.0 162.5; 25.0 100.0 325.0; 30.0 100.0 325.0]","2 2 3 3 3 4",0.25,300,11,0,0,1
