model,property,algorithm,seed,simulations,time,robustness,falsified,input,control points,exploration ratio,budget,failed_explore_choice,failed_uniform_choice,failed_prefix_choice,failed_suffix_choice,failed_explore_forced,failed_uniform_forced,failed_prefix_forced,failed_suffix_forced,success_explore_choice,success_uniform_choice,success_prefix_choice,success_suffix_choice,success_explore_forced,success_uniform_forced,success_prefix_forced,success_suffix_forced
cars,"□_[0.0, 100.0] ((y5 - y4) <= 40.0)",adaptive,0,1.0,92.0,-44.12514924482045,yes,"[0.0 0.5 0.0; 50.0 1.0 1.0; 100.0 1.0 1.0]","2 2 3 3 3 4",0.25,300,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
cars,"□_[0.0, 100.0] ((y5 - y4) <= 40.0)",adaptive,6146794652083548235,1.0,1.0,-50.6333863126072,yes,"[0.0 0.625 0.0; 33.333333333333336 1.0 1.0; 83.33333333333334 1.0 1.0; 100.0 1.0 1.0]","2 2 3 3 3 4",0.25,300,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
cars,"□_[0.0, 100.0] ((y5 - y4) <= 40.0)",adaptive,-6733301439666538246,2.0,2.0,-44.12514924482045,yes,"[0.0 0.5 0.0; 50.0 1.0 1.0; 100.0 1.0 1.0]","2 2 3 3 3 4",0.25,300,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0
cars,"□_[0.0, 100.0] ((y5 - y4) <= 40.0)",adaptive,-6465841399621858491,1.0,1.0,-44.12514924482045,yes,"[0.0 0.5 0.0; 50.0 0.0 1.0; 100.0 0.0 1.0]","2 2 3 3 3 4",0.25,300,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
cars,"□_[0.0, 100.0] ((y5 - y4) <= 40.0)",adaptive,4215309920001602238,3.0,2.0,-126.66473561055363,yes,"[0.0 0.0 0.75; 33.333333333333336 1.0 0.0; 83.33333333333334 0.625 1.0; 100.0 0.625 1.0]","2 2 3 3 3 4",0.25,300,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0
cars,"□_[0.0, 70.0] ◇_[0.0, 30.0] (15.0 <= (y5 - y4))",adaptive,0,6.0,7.0,-5.0,yes,"[0.0 0.0 0.75; 33.333333333333336 0.8125 1.0; 66.66666666666667 0.0 0.0; 100.0 0.0 0.0]","2 2 3 3 3 4",0.25,300,1,0,0,0,14,0,0,0,0,0,0,0,3,0,0,0
cars,"□_[0.0, 70.0] ◇_[0.0, 30.0] (15.0 <= (y5 - y4))",adaptive,-2684237951282348840,1.0,0.0,-5.0,yes,"[0.0 0.0 1.0; 50.0 0.5 0.0; 100.0 0.5 0.0]","2 2 3 3 3 4",0.25,300,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
cars,"□_[0.0, 70.0] ◇_[0.0, 30.0] (15.0 <= (y5 - y4))",adaptive,-5776376393473258344,2.0,1.0,-5.0,yes,"[0.0 0.0 0.5; 50.0 1.0 1.0; 100.0 1.0 1.0]","2 2 3 3 3 4",0.25,300,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0
cars,"□_[0.0, 70.0] ◇_[0.0, 30.0] (15.0 <= (y5 - y4))",adaptive,5845567942333674901,1.0,0.0,-5.0,yes,"[0.0 0.0 0.5; 50.0 1.0 1.0; 100.0 1.0 1.0]","2 2 3 3 3 4",0.25,300,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
cars,"□_[0.0, 70.0] ◇_[0.0, 30.0] (15.0 <= (y5 - y4))",adaptive,1692501663835786485,2.0,1.0,-5.0,yes,"[0.0 0.0 0.0; 50.0 0.0 1.0; 100.0 0.0 1.0]","2 2 3 3 3 4",0.25,300,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0
